127.0.0.1 - - [10/Dec/2018:11:24:47 +0000] "POST /wp-cron.php?doing_wp_cron=1544441086.3654720783233642578125 HTTP/1.0" 499 0 "http://tory-wordpress-site.local/wp-cron.php?doing_wp_cron=1544441086.3654720783233642578125" "WordPress/5.0; http://tory-wordpress-site.local"
127.0.0.1 - - [10/Dec/2018:11:49:30 +0000] "GET / HTTP/1.0" 200 10823 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:49:31 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:51:05 +0000] "GET / HTTP/1.0" 200 10823 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:51:06 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:28 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:30 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:30 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftory-wordpress-site.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2876 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:31 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://tory-wordpress-site.local/wp-login.php?redirect_to=http%3A%2F%2Ftory-wordpress-site.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:46 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://tory-wordpress-site.local/wp-login.php?redirect_to=http%3A%2F%2Ftory-wordpress-site.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [10/Dec/2018:11:52:48 +0000] "GET /wp-admin/ HTTP/1.0" 200 57236 "http://tory-wordpress-site.local/wp-login.php?redirect_to=http%3A%2F%2Ftory-wordpress-site.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
